id;start_date;end_date;language
1;2024-03-02T20:10:59;2024-03-02T19:33:02;SPANISH
2;2024-03-02T22:58:38;2024-03-02T23:00:19;ENGLISH
3;2024-03-03T05:03:17;2024-03-03T11:54:17;SPANISH
4;2024-03-02T19:21:24;2024-03-03T06:41:16;FRENCH
5;2024-03-02T18:12:46;2024-03-03T09:06:08;FRENCH
6;2024-03-02T16:22:39;2024-03-03T10:06:44;FRENCH
7;2024-03-02T22:09:58;2024-03-02T16:21:45;SPANISH
8;2024-03-03T04:40:31;2024-03-03T09:46:45;SPANISH
9;2024-03-02T20:06:51;2024-03-02T17:26:17;ENGLISH
10;2024-03-03T15:04:12;2024-03-02T22:55:27;ENGLISH
